Databank for timer 100
n T H M E
100 2 0 -0.00454712 -359990
200 2 -0.02 -0.0110626 -289021
300 2 -0.14 -0.0419464 -26260
400 2 -0.48 -0.168343 16
500 2 -0.8 -0.354347 -7
600 2 -0.96 -0.571831 -72
700 2 -0.86 -0.728302 -80
800 2 -0.54 -0.821831 -39
900 2 -0.22 -0.852928 48
1000 2 -0.12 -0.864899 -51
1100 2 -0.08 -0.868843 26
1200 2 -0.02 -0.872017 28
1300 2 6.245e-17 -0.871475 1836
1400 2 6.245e-17 -0.872337 1624
1500 2 6.245e-17 -0.87619 1236
1600 2 6.245e-17 -0.879036 872
1700 2 6.245e-17 -0.881737 1180
1800 1.96 6.245e-17 -0.893303 -4288
1900 1.8 6.245e-17 -0.911674 -16100
2000 1.6 6.245e-17 -0.956947 -47212
2100 1.6 6.245e-17 -0.96109 -47772
2200 1.56 6.245e-17 -0.968521 -51320
2300 1.12 6.245e-17 -0.984863 -64936
2400 0.8 6.245e-17 -0.99044 -67932
2500 0.8 -0.02 -0.992813 -68020
2600 0.8 -0.02 -0.995453 -67340
2700 0.8 -0.02 -0.997841 -66981
2800 0.8 0.02 -0.998848 -66756
2900 0.8 0.02 -0.999344 -66397
3000 0.8 0.02 -0.999893 -66184
3100 0.8 0.02 -0.999886 -65997
3200 0.8 0.02 -0.999855 -65791
3300 0.8 0.02 -0.99984 -65585
3400 0.8 0.04 -0.999878 -65436
3500 0.8 0.1 -0.999863 -65199
3600 0.84 0.12 -0.999817 -64938
3700 1 0.12 -0.999252 -63914
3800 1.4 0.12 -0.990318 -46941
3900 1.44 0.12 -0.989571 -27393
4000 1.52 0.12 -0.985962 -2893
4100 2.08 0.12 -0.915421 182
4200 2.72 0.12 -0.57251 -8
4300 2.8 0.12 -0.218529 8
4400 2.2 0.12 -0.054184 -38
4500 1.56 0.12 0.0286026 17
4600 1.28 0.12 0.115837 0
4700 1.24 0.12 0.180862 0
4800 0.64 0.12 0.244247 -5
4900 0.01 0.12 0.399353 -465
5000 0.05 0.12 0.663383 -11493
5100 0.29 0.12 0.791176 -16622
5200 0.93 0.12 0.826714 -7274
5300 1.01 0.12 0.844696 -10
5400 1.01 0.12 0.866905 8
5500 1.01 0.12 0.884262 7
5600 1.01 0.12 0.903252 -23
5700 1.01 0.08 0.916245 -69
5800 1.01 0.02 0.927818 -23
5900 1.01 -0.04 0.934303 3
6000 1.01 6.245e-17 0.939903 -56
6100 1.01 6.245e-17 0.944588 -500
6200 1.01 6.245e-17 0.951309 -880
6300 1.01 6.245e-17 0.956398 -1140
6400 1.01 6.245e-17 0.962029 -1464
6500 1.01 6.245e-17 0.966553 -1944
6600 1.01 6.245e-17 0.969688 -2212
6700 1.01 6.245e-17 0.973312 -2528
6800 1.01 6.245e-17 0.975037 -2456
