Databank for timer 1
n T H M E
1 2 0 0.000991821 -172658
2 2 0 0.000991821 -172658
3 2 0 0.000991821 -172658
4 2 0 0.000991821 -172658
5 2 0 0.000991821 -172658
6 2 0 0.000991821 -172658
7 2 0 0.000991821 -172658
8 2 0 0.000991821 -172658
9 2 0 0.00447845 -232722
10 2 0 0.00447845 -232722
11 2 0 0.00447845 -232722
12 2 0 0.00447845 -232722
13 2 0 0.00447845 -232722
14 2 0 0.00447845 -232722
15 2 0 0.00447845 -232722
16 2 0 0.00447845 -232722
17 2 0 0.00431061 -266450
18 2 0 0.00431061 -266450
19 2 0 0.00431061 -266450
20 2 0 0.00431061 -266450
21 2 0 0.00431061 -266450
22 2 0 0.00431061 -266450
23 2 0 0.00431061 -266450
24 2 0 0.00431061 -266450
25 2 0 0.00206757 -288682
26 2 0 0.00206757 -288682
27 2 0 0.00206757 -288682
28 2 0 0.00206757 -288682
29 2 0 0.00206757 -288682
30 2 0 0.00206757 -288682
31 2 0 0.00206757 -288682
32 2 0 0.00206757 -288682
33 2 0 0.00087738 -303210
34 2 0 0.00087738 -303210
35 2 0 0.00087738 -303210
36 2 0 0.00087738 -303210
37 2 0 0.00087738 -303210
38 2 0 0.00087738 -303210
39 2 0 0.00087738 -303210
40 2 0 -0.00372314 -314694
41 2 0 -0.00372314 -314694
42 2 0 -0.00372314 -314694
43 2 0 -0.00372314 -314694
44 2 0 -0.00372314 -314694
45 2 0 -0.00372314 -314694
46 2 0 -0.00372314 -314694
47 2 0 -0.0038147 -325410
48 2 0 -0.0038147 -325410
49 2 0 -0.0038147 -325410
50 2 0 -0.0038147 -325410
51 2 0 -0.0038147 -325410
52 2 0 -0.0038147 -325410
53 2 0 -0.0038147 -325410
54 2 0 -0.0038147 -325410
55 2 0 0.000511169 -332062
56 2 0 0.000511169 -332062
57 2 0 0.000511169 -332062
58 2 0 0.000511169 -332062
59 2 0 0.000511169 -332062
60 2 0 0.000511169 -332062
61 2 0 0.000511169 -332062
62 2 0 0.000511169 -332062
63 2 0 0.0001297 -338126
64 2 0 0.0001297 -338126
65 2 0 0.0001297 -338126
66 2 0 0.0001297 -338126
67 2 0 0.0001297 -338126
68 2 0 0.0001297 -338126
69 2 0 0.0001297 -338126
70 2 0 0.0001297 -338126
71 2 0 -0.00120544 -343050
72 2 0 -0.00120544 -343050
73 2 0 -0.00120544 -343050
74 2 0 -0.00120544 -343050
75 2 0 -0.00120544 -343050
76 2 0 -0.00120544 -343050
77 2 0 -0.00120544 -343050
78 2 0 -0.00193024 -347778
79 2 0 -0.00193024 -347778
80 2 0 -0.00193024 -347778
81 2 0 -0.00193024 -347778
82 2 0 -0.00193024 -347778
83 2 0 -0.00193024 -347778
84 2 0 -0.00193024 -347778
85 2 0 -0.00193024 -347778
86 2 0 -0.00341034 -351246
87 2 0 -0.00341034 -351246
88 2 0 -0.00341034 -351246
89 2 0 -0.00341034 -351246
90 2 0 -0.00341034 -351246
91 2 0 -0.00341034 -351246
92 2 0 -0.00341034 -351246
93 2 0 -0.00271606 -355658
94 2 0 -0.00271606 -355658
95 2 0 -0.00271606 -355658
96 2 0 -0.00271606 -355658
97 2 0 -0.00271606 -355658
98 2 0 -0.00271606 -355658
99 2 0 -0.00271606 -355658
100 2 0 -0.00454712 -359990
101 2 0 -0.00454712 -359990
102 2 0 -0.00454712 -359990
103 2 0 -0.00454712 -359990
104 2 0 -0.00454712 -359990
105 2 0 -0.00454712 -359990
106 2 0 -0.00454712 -359990
107 2 0 -0.00518036 -362610
108 2 0 -0.00518036 -362610
109 2 0 -0.00518036 -362610
110 2 0 -0.00518036 -362610
