1650284900   Words were given.
Words:  nhbutg7g8uj8uh7tf6esedfuj , buyniuhutg7tfg7yh9ju9ik0
1650284900   Vector created.
1650284900   4 10  value: 8
1650284900   3 11  skip 
1650284900   3 11  value: 9
1650284900   2 12  skip 
1650284900   2 12  value: 10
1650284900   1 13  skip 
1650284900   1 13  value: 12
1650284900   0 14  skip 
1650284900   0 14  value: 14
1650284900   15 0  skip 
1650284900   15 0  value: 15
1650284900   14 1  skip 
1650284900   14 1  value: 13
1650284900   13 2  skip 
1650284900   13 2  value: 11
1650284900   12 3  skip 
1650284900   12 3  value: 10
1650284900   11 4  skip 
1650284900   11 4  value: 9
1650284900   10 5  skip 
1650284900   10 5  value: 8
1650284900   9 6  skip 
1650284900   9 6  value: 7
1650284900   8 7  skip 
1650284900   8 7  value: 7
1650284900   7 8  skip 
1650284900   7 8  value: 8
1650284900   6 9  skip 
1650284900   6 9  value: 7
1650284900   5 10  skip 
1650284900   5 10  value: 7
1650284900   4 11  skip 
1650284900   4 11  value: 9
1650284900   3 12  skip 
1650284900   3 12  value: 10
1650284900   2 13  skip 
1650284900   2 13  value: 11
1650284900   1 14  skip 
1650284900   1 14  value: 13
1650284900   0 15  skip 
1650284900   0 15  value: 15
1650284900   16 0  skip 
1650284900   16 0  value: 16
1650284900   15 1  skip 
1650284900   15 1  value: 14
1650284900   14 2  skip 
1650284900   14 2  value: 12
1650284900   13 3  skip 
1650284900   13 3  value: 11
1650284900   12 4  skip 
1650284900   12 4  value: 10
1650284900   11 5  skip 
1650284900   11 5  value: 9
1650284900   10 6  skip 
1650284900   10 6  value: 7
1650284900   9 7  skip 
1650284900   9 7  value: 7
1650284900   8 8  skip 
1650284900   8 8  value: 8
1650284900   7 9  skip 
1650284900   7 9  value: 8
1650284900   6 10  skip 
1650284900   6 10  value: 6
1650284900   5 11  skip 
1650284900   5 11  value: 8
1650284900   4 12  skip 
1650284900   4 12  value: 10
1650284900   3 13  skip 
1650284900   3 13  value: 11
1650284900   2 14  skip 
1650284900   2 14  value: 12
1650284900   1 15  skip 
1650284900   1 15  value: 14
1650284900   0 16  skip 
1650284900   0 16  value: 16
1650284900   17 0  skip 
1650284900   17 0  value: 17
1650284900   16 1  skip 
1650284900   16 1  value: 15
1650284900   15 2  skip 
1650284900   15 2  value: 13
1650284900   14 3  skip 
1650284900   14 3  value: 12
1650284900   13 4  skip 
1650284900   13 4  value: 11
1650284900   12 5  skip 
1650284900   12 5  value: 10
1650284900   11 6  skip 
1650284900   11 6  value: 8
1650284900   10 7  skip 
1650284900   10 7  value: 8
1650284900   9 8  skip 
1650284900   9 8  value: 8
1650284900   8 9  skip 
1650284900   8 9  value: 9
1650284900   7 10  skip 
1650284900   7 10  value: 7
1650284900   6 11  skip 
1650284900   6 11  value: 7
1650284900   5 12  skip 
1650284900   5 12  value: 9
1650284900   4 13  skip 
1650284900   4 13  value: 11
1650284900   3 14  skip 
1650284900   3 14  value: 12
1650284900   2 15  skip 
1650284900   2 15  value: 13
1650284900   1 16  skip 
1650284900   1 16  value: 15
1650284900   0 17  skip 
1650284900   0 17  value: 17
1650284900   18 0  skip 
1650284900   18 0  value: 18
1650284900   17 1  skip 
1650284900   17 1  value: 16
1650284900   16 2  skip 
1650284900   16 2  value: 14
1650284900   15 3  skip 
1650284900   15 3  value: 13
1650284900   14 4  skip 
1650284900   14 4  value: 12
1650284900   13 5  skip 
1650284900   13 5  value: 11
1650284900   12 6  skip 
1650284900   12 6  value: 9
1650284900   11 7  skip 
